job,marital,education,default,housing,loan,y
blue-collar,married,basic.4y,no,yes,no,no
blue-collar,divorced,basic.9y,unknown,yes,no,no
student,single,high.school,unknown,yes,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
blue-collar,married,basic.6y,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
blue-collar,divorced,basic.9y,no,yes,no,no
admin.,single,university.degree,no,yes,no,no
services,single,unknown,no,yes,no,no
management,married,university.degree,no,yes,no,no
services,unknown,high.school,no,yes,yes,no
blue-collar,single,basic.4y,unknown,no,no,no
management,divorced,professional.course,no,no,no,no
services,single,high.school,no,no,no,no
services,single,high.school,no,no,no,no
technician,married,university.degree,no,no,no,no
management,divorced,university.degree,no,no,no,no
services,married,professional.course,no,yes,no,no
blue-collar,divorced,high.school,no,yes,no,no
admin.,single,university.degree,no,yes,no,no
services,divorced,high.school,unknown,no,no,no
admin.,single,high.school,no,yes,no,no
technician,married,basic.9y,no,yes,no,no
technician,married,basic.9y,no,yes,no,yes
management,single,university.degree,no,no,no,no
student,single,high.school,unknown,yes,no,no
admin.,single,high.school,no,yes,no,no
blue-collar,married,basic.9y,no,no,no,no
management,divorced,unknown,no,yes,no,no
blue-collar,married,basic.9y,no,yes,yes,no
blue-collar,married,high.school,no,no,no,no
entrepreneur,married,high.school,no,yes,yes,no
technician,married,professional.course,no,yes,no,no
services,married,high.school,no,no,no,no
student,single,high.school,unknown,no,no,no
blue-collar,married,basic.6y,unknown,yes,no,yes
management,married,university.degree,unknown,no,no,no
blue-collar,married,basic.6y,no,yes,yes,no
management,married,basic.4y,no,yes,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
self-employed,single,university.degree,no,no,no,no
blue-collar,married,basic.6y,no,yes,no,no
blue-collar,married,basic.6y,no,yes,no,no
blue-collar,married,basic.4y,unknown,unknown,unknown,no
admin.,married,university.degree,no,yes,no,no
technician,divorced,professional.course,no,yes,yes,no
blue-collar,married,basic.9y,no,yes,no,no
services,married,basic.6y,unknown,no,no,no
blue-collar,divorced,basic.4y,no,unknown,unknown,no
blue-collar,married,basic.4y,no,no,no,no
admin.,single,university.degree,no,yes,no,yes
blue-collar,married,basic.6y,no,yes,no,yes
blue-collar,married,basic.9y,no,yes,no,no
blue-collar,married,basic.6y,no,no,no,no
unemployed,married,basic.9y,unknown,yes,no,no
blue-collar,married,basic.6y,no,no,no,no
blue-collar,married,basic.4y,no,no,no,no
admin.,single,professional.course,no,yes,no,no
technician,married,professional.course,no,yes,no,no
technician,married,professional.course,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
admin.,married,high.school,no,no,no,no
management,married,university.degree,no,yes,no,no
blue-collar,divorced,basic.9y,no,yes,no,no
blue-collar,married,basic.9y,no,yes,yes,no
technician,married,professional.course,no,no,no,no
blue-collar,married,basic.9y,no,no,no,no
self-employed,married,basic.9y,no,yes,yes,no
blue-collar,married,basic.9y,no,no,no,no
blue-collar,married,basic.9y,no,yes,no,yes
blue-collar,married,high.school,no,yes,yes,no
blue-collar,married,basic.6y,no,no,no,yes
entrepreneur,married,basic.6y,no,no,no,no
admin.,married,university.degree,no,no,no,no
services,single,high.school,no,no,no,no
blue-collar,divorced,basic.9y,no,no,no,no
technician,married,university.degree,no,yes,no,no
blue-collar,married,basic.6y,unknown,no,no,no
admin.,married,high.school,no,yes,no,no
blue-collar,single,basic.4y,no,no,no,no
blue-collar,married,basic.9y,no,yes,yes,no
admin.,married,high.school,no,no,no,no
admin.,divorced,university.degree,no,yes,no,no
blue-collar,married,basic.9y,no,yes,no,no
management,single,university.degree,no,yes,no,no
technician,single,professional.course,unknown,yes,no,no
admin.,single,high.school,no,no,no,no
technician,married,professional.course,no,yes,no,no
admin.,married,high.school,no,no,no,no
blue-collar,married,professional.course,no,yes,no,no
blue-collar,married,basic.9y,unknown,yes,no,no
services,married,high.school,no,no,no,no
management,divorced,university.degree,no,yes,no,no
technician,divorced,basic.6y,no,yes,no,no
admin.,divorced,high.school,no,no,no,no
technician,married,high.school,no,yes,no,no
admin.,married,professional.course,no,unknown,unknown,no
admin.,single,university.degree,no,yes,no,no
admin.,married,university.degree,unknown,no,no,no
housemaid,married,high.school,unknown,no,no,no
housemaid,married,high.school,unknown,no,no,no
blue-collar,single,basic.9y,unknown,yes,yes,no
admin.,married,unknown,no,yes,no,no
technician,married,professional.course,no,yes,no,no
admin.,married,high.school,no,no,no,no
services,divorced,high.school,no,no,no,no
admin.,single,university.degree,no,no,no,no
services,married,high.school,no,yes,no,no
blue-collar,married,basic.6y,unknown,no,no,no
blue-collar,single,basic.9y,unknown,yes,no,no
blue-collar,single,professional.course,unknown,yes,no,no
management,divorced,university.degree,no,no,no,yes
technician,married,university.degree,no,yes,no,no
technician,married,university.degree,no,yes,yes,no
blue-collar,married,basic.9y,unknown,yes,no,no
blue-collar,married,basic.4y,unknown,no,no,no
management,married,basic.9y,no,yes,yes,no
blue-collar,married,basic.9y,no,yes,no,no
management,married,university.degree,no,no,no,no
blue-collar,married,basic.9y,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
admin.,divorced,professional.course,no,no,no,no
technician,married,university.degree,no,yes,no,no
blue-collar,married,high.school,no,no,no,no
services,married,high.school,unknown,yes,yes,no
admin.,married,high.school,no,no,no,no
services,married,high.school,unknown,yes,no,no
blue-collar,married,basic.9y,no,yes,no,no
blue-collar,single,basic.4y,no,no,no,no
admin.,married,high.school,no,yes,no,no
admin.,single,high.school,no,yes,no,yes
services,single,high.school,no,no,no,no
services,single,high.school,no,yes,no,no
blue-collar,married,high.school,no,yes,no,no
services,married,basic.6y,unknown,no,no,no
admin.,single,university.degree,no,yes,no,no
technician,married,professional.course,no,yes,no,no
blue-collar,married,basic.9y,no,yes,no,no
blue-collar,married,basic.6y,unknown,yes,no,no
blue-collar,married,basic.9y,no,no,no,no
blue-collar,married,basic.9y,no,yes,no,no
admin.,single,high.school,no,no,no,no
admin.,single,university.degree,no,yes,no,no
blue-collar,married,high.school,no,no,no,no
admin.,married,university.degree,no,yes,no,no
entrepreneur,married,basic.4y,no,yes,no,no
technician,married,professional.course,no,yes,no,yes
blue-collar,married,basic.6y,no,yes,no,yes
admin.,single,university.degree,no,no,no,no
management,single,university.degree,no,yes,no,no
admin.,single,university.degree,no,yes,yes,no
admin.,married,high.school,unknown,yes,no,no
blue-collar,married,basic.6y,no,no,no,no
student,single,basic.9y,no,no,yes,no
blue-collar,married,basic.6y,unknown,no,no,no
services,divorced,high.school,no,no,yes,no
technician,single,professional.course,no,no,no,no
blue-collar,married,basic.9y,unknown,no,yes,no
services,married,high.school,no,yes,no,no
blue-collar,married,professional.course,unknown,no,no,no
entrepreneur,married,basic.4y,no,no,yes,yes
housemaid,married,basic.6y,no,yes,no,no
blue-collar,married,basic.9y,no,yes,no,no
blue-collar,married,basic.9y,no,yes,no,no
self-employed,married,unknown,unknown,no,no,no
entrepreneur,married,university.degree,no,no,no,no
blue-collar,married,professional.course,unknown,no,yes,no
technician,single,professional.course,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
services,married,professional.course,unknown,yes,no,no
technician,divorced,university.degree,no,yes,no,no
blue-collar,divorced,basic.9y,no,yes,no,no
blue-collar,married,basic.4y,no,yes,no,no
blue-collar,married,basic.4y,no,yes,yes,no
services,divorced,basic.9y,no,unknown,unknown,no
blue-collar,married,basic.9y,no,no,yes,no
blue-collar,married,basic.9y,no,yes,no,yes
services,divorced,basic.9y,no,yes,no,no
blue-collar,divorced,basic.9y,unknown,no,no,no
blue-collar,divorced,high.school,unknown,no,no,yes
blue-collar,divorced,basic.9y,unknown,yes,no,no
blue-collar,married,basic.9y,no,no,yes,no
entrepreneur,married,basic.6y,no,no,no,no
admin.,single,university.degree,no,yes,no,no
admin.,married,high.school,no,no,no,no
services,married,high.school,no,no,yes,no
blue-collar,married,basic.6y,no,yes,no,no
blue-collar,single,basic.9y,no,yes,yes,no
blue-collar,married,professional.course,no,yes,no,no
blue-collar,married,professional.course,no,yes,no,no
blue-collar,married,basic.6y,unknown,no,no,no
blue-collar,married,basic.4y,no,no,no,no
blue-collar,married,professional.course,no,yes,no,no
blue-collar,single,high.school,no,no,no,no
blue-collar,single,high.school,no,yes,no,no
services,married,high.school,no,no,no,no
blue-collar,single,high.school,no,no,no,no
admin.,single,university.degree,unknown,yes,no,yes
blue-collar,single,high.school,no,yes,no,no
admin.,single,university.degree,no,no,yes,no
admin.,married,university.degree,no,no,no,no
technician,married,professional.course,no,yes,no,no
management,married,basic.9y,no,yes,no,no
technician,single,professional.course,no,no,no,no
blue-collar,divorced,basic.9y,unknown,no,no,no
blue-collar,single,high.school,no,no,no,no
services,married,high.school,unknown,no,no,no
blue-collar,married,basic.6y,no,yes,no,no
services,married,high.school,unknown,yes,no,no
student,single,university.degree,no,no,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
blue-collar,married,basic.4y,unknown,no,yes,no
blue-collar,single,basic.9y,no,no,no,no
student,single,university.degree,no,no,no,no
blue-collar,married,basic.6y,no,yes,no,no
blue-collar,married,basic.9y,no,yes,no,no
admin.,single,university.degree,no,no,no,no
admin.,married,high.school,no,yes,no,no
blue-collar,single,basic.9y,no,yes,yes,no
blue-collar,married,basic.9y,no,no,no,no
unemployed,divorced,high.school,no,no,no,no
technician,single,high.school,no,yes,no,yes
admin.,single,university.degree,no,yes,no,no
blue-collar,single,basic.9y,no,yes,no,yes
unemployed,divorced,high.school,no,yes,yes,no
admin.,single,basic.9y,unknown,no,no,no
blue-collar,married,basic.6y,unknown,no,no,no
housemaid,married,basic.6y,unknown,no,no,no
technician,married,professional.course,no,yes,yes,no
blue-collar,single,basic.6y,unknown,no,yes,no
services,single,high.school,no,yes,no,no
blue-collar,married,basic.4y,unknown,no,yes,no
blue-collar,married,basic.4y,no,no,no,no
technician,single,professional.course,no,no,no,no
blue-collar,married,basic.4y,no,no,no,no
blue-collar,married,basic.9y,no,yes,no,no
blue-collar,married,basic.4y,no,no,yes,no
blue-collar,married,basic.4y,no,yes,no,no
technician,divorced,professional.course,no,yes,no,yes
technician,married,professional.course,unknown,yes,no,no
services,married,basic.9y,no,no,no,yes
services,single,high.school,no,yes,no,no
technician,married,professional.course,no,yes,no,no
technician,married,professional.course,no,no,no,no
entrepreneur,married,university.degree,unknown,no,no,no
management,married,university.degree,no,yes,no,no
blue-collar,married,high.school,no,yes,no,no
management,married,university.degree,no,no,yes,no
blue-collar,single,basic.9y,no,yes,no,no
blue-collar,single,basic.9y,no,yes,no,no
services,divorced,basic.9y,no,no,no,no
blue-collar,married,basic.6y,unknown,yes,no,no
blue-collar,married,basic.4y,no,yes,no,no
entrepreneur,divorced,basic.9y,no,yes,no,no
admin.,single,high.school,no,no,no,no
admin.,married,basic.9y,no,yes,yes,no
blue-collar,single,high.school,no,yes,no,no
blue-collar,married,basic.4y,no,yes,yes,no
entrepreneur,married,university.degree,no,yes,no,no
blue-collar,married,basic.9y,no,yes,yes,no
technician,single,professional.course,no,no,no,no
technician,single,professional.course,no,yes,yes,no
admin.,married,high.school,no,yes,no,no
blue-collar,single,high.school,no,yes,no,no
services,married,high.school,no,no,no,no
technician,single,professional.course,no,yes,no,no
blue-collar,single,basic.6y,unknown,no,no,no
technician,divorced,professional.course,no,no,no,no
blue-collar,married,basic.9y,no,no,no,no
blue-collar,married,unknown,no,yes,no,no
admin.,married,university.degree,no,no,no,no
blue-collar,married,high.school,no,yes,no,no
admin.,married,university.degree,unknown,yes,no,no
services,single,high.school,no,no,no,no
retired,married,basic.9y,no,no,yes,no
blue-collar,married,basic.9y,no,no,no,no
admin.,married,basic.9y,no,yes,no,no
technician,single,professional.course,no,no,no,no
blue-collar,single,basic.4y,no,unknown,unknown,no
blue-collar,married,basic.9y,no,no,no,no
blue-collar,married,basic.4y,no,no,no,no
technician,single,professional.course,no,no,no,no
admin.,single,university.degree,no,no,no,no
admin.,single,university.degree,no,yes,no,no
blue-collar,single,basic.6y,unknown,yes,no,no
self-employed,married,university.degree,unknown,unknown,unknown,no
admin.,single,high.school,no,unknown,unknown,no
blue-collar,married,high.school,unknown,yes,no,no
admin.,married,university.degree,no,unknown,unknown,no
admin.,single,university.degree,no,no,no,no
blue-collar,married,basic.4y,no,yes,no,no
blue-collar,married,basic.6y,no,no,yes,no
admin.,married,unknown,no,yes,no,no
services,married,high.school,unknown,no,no,no
technician,single,unknown,no,yes,no,no
management,divorced,university.degree,no,no,no,no
management,divorced,university.degree,no,yes,yes,no
technician,married,professional.course,no,no,no,no
admin.,single,high.school,no,yes,no,no
services,married,high.school,no,yes,no,yes
services,single,high.school,unknown,yes,no,no
self-employed,married,basic.9y,no,yes,no,no
blue-collar,married,basic.9y,no,yes,no,no
admin.,married,high.school,no,yes,no,no
management,married,university.degree,no,no,no,yes
blue-collar,married,basic.9y,no,no,no,no
technician,divorced,university.degree,no,yes,no,no
admin.,married,high.school,no,no,yes,no
services,married,high.school,no,yes,yes,no
blue-collar,married,basic.9y,no,yes,no,no
blue-collar,married,basic.4y,no,yes,yes,no
admin.,married,high.school,no,no,no,no
technician,married,professional.course,no,no,yes,no
blue-collar,married,basic.4y,no,yes,no,no
admin.,single,university.degree,no,yes,no,no
admin.,married,high.school,no,no,no,no
blue-collar,married,basic.9y,no,no,yes,yes
technician,married,professional.course,no,yes,no,no
blue-collar,married,basic.9y,no,unknown,unknown,no
technician,married,professional.course,no,yes,no,no
blue-collar,married,basic.9y,no,no,no,no
services,married,high.school,unknown,yes,no,no
blue-collar,married,basic.6y,unknown,no,yes,no
entrepreneur,married,university.degree,unknown,yes,no,no
blue-collar,married,unknown,no,no,yes,no
management,married,university.degree,unknown,no,no,no
blue-collar,married,basic.9y,no,yes,no,no
services,divorced,high.school,no,no,no,no
admin.,married,high.school,no,yes,no,no
blue-collar,married,basic.6y,unknown,yes,no,no
self-employed,single,university.degree,no,yes,no,no
blue-collar,married,high.school,unknown,yes,no,yes
management,married,basic.9y,no,no,no,no
housemaid,divorced,basic.6y,no,no,yes,no
technician,married,university.degree,unknown,yes,no,no
technician,single,high.school,no,no,no,no
services,single,basic.9y,no,no,yes,no
admin.,married,high.school,no,yes,no,no
blue-collar,single,basic.4y,no,yes,no,no
blue-collar,married,basic.6y,unknown,no,no,no
blue-collar,married,basic.9y,unknown,yes,no,no
admin.,married,high.school,no,no,no,no
blue-collar,married,basic.9y,unknown,yes,no,no
blue-collar,married,basic.9y,no,no,no,no
blue-collar,married,basic.9y,no,no,no,no
admin.,married,high.school,no,no,no,no
technician,single,university.degree,no,yes,no,no
blue-collar,married,basic.6y,unknown,yes,no,no
services,single,high.school,no,no,no,no
retired,married,basic.9y,unknown,no,no,no
services,single,high.school,no,yes,no,yes
entrepreneur,single,basic.9y,no,no,no,no
blue-collar,married,basic.9y,unknown,yes,no,no
blue-collar,married,basic.9y,unknown,yes,no,no
technician,single,university.degree,no,yes,no,no
blue-collar,married,basic.6y,no,yes,no,no
admin.,single,high.school,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
blue-collar,married,basic.9y,no,no,yes,no
blue-collar,married,basic.4y,no,yes,no,no
admin.,single,basic.6y,unknown,no,no,no
admin.,single,high.school,no,no,no,no
blue-collar,married,basic.9y,no,yes,no,no
blue-collar,married,basic.6y,unknown,yes,no,no
blue-collar,married,basic.9y,no,no,no,no
technician,single,professional.course,no,yes,no,yes
services,single,high.school,no,no,no,no
admin.,married,high.school,no,no,no,no
services,married,high.school,no,yes,no,no
services,married,high.school,no,no,no,no
blue-collar,single,basic.9y,no,no,no,no
admin.,single,university.degree,no,no,no,no
unemployed,married,high.school,no,no,no,no
admin.,unknown,university.degree,no,no,no,no
blue-collar,single,basic.9y,unknown,no,no,no
retired,married,professional.course,no,yes,no,no
blue-collar,single,professional.course,no,yes,yes,no
services,married,high.school,no,yes,no,no
blue-collar,married,basic.9y,no,no,no,no
blue-collar,divorced,basic.6y,no,yes,no,no
technician,single,professional.course,no,no,no,yes
entrepreneur,single,basic.9y,no,no,yes,no
admin.,married,high.school,no,yes,yes,no
blue-collar,married,basic.9y,no,yes,yes,no
blue-collar,married,basic.4y,no,yes,yes,no
admin.,married,basic.9y,unknown,yes,yes,no
admin.,single,high.school,no,yes,yes,no
services,married,high.school,no,no,no,no
technician,married,university.degree,no,yes,no,no
blue-collar,married,basic.4y,unknown,yes,yes,no
blue-collar,single,basic.9y,no,no,yes,yes
blue-collar,married,basic.9y,unknown,no,no,no
blue-collar,married,basic.4y,unknown,no,no,no
blue-collar,married,basic.6y,no,no,no,no
admin.,married,university.degree,no,no,no,no
blue-collar,married,basic.9y,no,no,no,no
blue-collar,married,basic.9y,unknown,no,no,no
blue-collar,married,basic.9y,unknown,no,no,no
management,divorced,university.degree,no,yes,no,no
blue-collar,married,basic.9y,no,yes,no,no
admin.,married,high.school,no,yes,no,no
admin.,married,professional.course,no,yes,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
admin.,single,basic.6y,no,yes,no,no
admin.,married,high.school,no,yes,no,no
blue-collar,divorced,basic.9y,no,yes,no,no
blue-collar,married,basic.6y,no,no,no,no
blue-collar,unknown,high.school,no,no,no,no
blue-collar,married,basic.6y,no,no,no,no
blue-collar,divorced,high.school,unknown,yes,no,no
admin.,divorced,university.degree,no,no,no,no
entrepreneur,married,university.degree,unknown,yes,no,no
admin.,single,unknown,unknown,yes,no,no
admin.,married,high.school,no,yes,no,no
blue-collar,married,basic.4y,no,yes,no,no
admin.,single,unknown,unknown,no,no,no
management,single,high.school,no,no,no,no
admin.,married,high.school,no,no,no,no
services,married,high.school,no,yes,no,no
services,married,high.school,no,no,no,no
admin.,married,university.degree,no,no,no,no
admin.,single,university.degree,no,yes,no,no
technician,married,professional.course,no,no,no,yes
admin.,married,high.school,no,no,yes,no
admin.,single,basic.6y,no,yes,no,no
blue-collar,married,basic.9y,unknown,no,no,yes
admin.,married,university.degree,unknown,yes,no,no
blue-collar,married,high.school,no,yes,yes,no
services,single,high.school,unknown,yes,no,no
blue-collar,married,basic.6y,unknown,yes,no,no
blue-collar,married,high.school,unknown,yes,no,no
blue-collar,married,basic.4y,no,no,no,no
blue-collar,married,basic.9y,unknown,no,no,no
technician,single,professional.course,no,no,yes,no
blue-collar,divorced,basic.9y,unknown,no,no,no
technician,single,professional.course,unknown,no,no,no
admin.,single,university.degree,no,no,no,no
blue-collar,married,basic.9y,no,no,no,no
blue-collar,single,basic.9y,no,yes,no,no
blue-collar,married,basic.9y,unknown,yes,yes,no
services,married,high.school,unknown,unknown,unknown,no
blue-collar,married,basic.9y,unknown,yes,no,no
admin.,married,high.school,no,yes,no,no
blue-collar,married,basic.9y,unknown,yes,yes,no
blue-collar,married,basic.9y,unknown,yes,yes,no
blue-collar,married,basic.9y,no,yes,no,no
housemaid,married,basic.6y,unknown,yes,yes,no
blue-collar,married,basic.9y,no,no,no,no
technician,divorced,university.degree,no,no,no,no
services,married,high.school,no,yes,yes,no
admin.,single,university.degree,no,no,no,no
admin.,divorced,high.school,no,yes,yes,no
blue-collar,married,basic.9y,no,no,no,no
student,single,basic.9y,no,no,no,no
admin.,single,university.degree,no,yes,yes,no
blue-collar,married,basic.9y,no,yes,yes,no
blue-collar,single,basic.9y,no,yes,no,no
blue-collar,married,professional.course,unknown,yes,no,no
technician,single,university.degree,no,yes,yes,yes
blue-collar,single,professional.course,no,no,no,no
blue-collar,married,basic.6y,unknown,no,no,no
unemployed,married,basic.9y,no,yes,no,no
self-employed,single,university.degree,no,no,no,yes
blue-collar,married,basic.9y,no,no,no,no
blue-collar,married,basic.4y,unknown,no,no,no
entrepreneur,single,basic.9y,no,yes,no,yes
self-employed,married,unknown,unknown,no,no,no
technician,married,professional.course,unknown,no,no,no
housemaid,divorced,high.school,no,yes,no,no
housemaid,married,basic.6y,unknown,no,no,no
technician,single,professional.course,no,yes,no,no
blue-collar,married,basic.4y,no,no,no,no
admin.,single,university.degree,no,no,no,no
services,single,high.school,no,no,no,no
housemaid,married,high.school,unknown,yes,yes,no
management,married,university.degree,unknown,no,no,no
admin.,divorced,high.school,no,yes,no,no
admin.,single,high.school,no,yes,yes,no
entrepreneur,married,basic.9y,unknown,no,no,no
admin.,married,university.degree,no,no,no,no
admin.,single,university.degree,no,yes,no,no
blue-collar,married,basic.9y,no,yes,no,no
blue-collar,married,basic.9y,no,yes,no,no
management,single,high.school,no,no,yes,no
blue-collar,married,basic.9y,unknown,no,yes,no
services,married,high.school,no,yes,no,no
technician,single,professional.course,unknown,yes,no,no
admin.,married,high.school,no,no,no,no
technician,divorced,professional.course,no,yes,no,no
blue-collar,married,basic.9y,no,no,no,no
blue-collar,married,basic.9y,no,no,no,no
technician,married,professional.course,no,yes,yes,no
management,married,university.degree,no,yes,no,no
technician,divorced,basic.9y,no,yes,yes,no
services,married,high.school,unknown,no,no,yes
blue-collar,married,unknown,no,yes,no,no
admin.,divorced,high.school,no,yes,no,no
blue-collar,married,basic.9y,no,yes,yes,no
admin.,married,university.degree,no,no,no,no
services,single,high.school,unknown,yes,no,no
blue-collar,single,professional.course,no,yes,no,no
blue-collar,married,basic.9y,no,yes,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
admin.,single,unknown,unknown,no,yes,no
management,married,university.degree,unknown,yes,yes,no
services,married,basic.9y,no,yes,no,no
management,single,university.degree,no,yes,yes,no
management,divorced,university.degree,no,yes,yes,no
technician,divorced,university.degree,no,yes,no,no
services,married,high.school,no,no,no,no
blue-collar,single,basic.9y,unknown,yes,no,no
entrepreneur,single,high.school,no,yes,yes,no
admin.,single,high.school,no,no,no,no
management,married,university.degree,no,yes,no,no
management,divorced,university.degree,no,no,no,no
blue-collar,married,basic.6y,no,no,no,no
entrepreneur,married,university.degree,no,yes,no,no
services,married,basic.6y,no,yes,no,no
retired,married,basic.4y,no,yes,no,no
blue-collar,single,high.school,no,yes,no,no
blue-collar,married,basic.9y,no,yes,no,no
technician,married,university.degree,no,no,no,yes
entrepreneur,married,basic.9y,no,no,no,no
services,married,high.school,unknown,no,yes,no
admin.,single,university.degree,no,no,yes,no
blue-collar,single,high.school,no,no,yes,yes
admin.,single,university.degree,no,yes,no,no
technician,single,university.degree,no,no,no,no
blue-collar,married,basic.9y,unknown,no,no,no
self-employed,divorced,university.degree,no,no,no,no
blue-collar,married,basic.9y,no,no,no,no
blue-collar,married,basic.6y,no,no,no,no
blue-collar,married,basic.6y,unknown,yes,no,no
unemployed,married,basic.9y,no,yes,no,no
self-employed,married,basic.9y,no,no,no,no
entrepreneur,married,basic.6y,no,no,no,no
technician,married,professional.course,no,yes,no,no
blue-collar,married,basic.4y,unknown,no,yes,no
services,single,high.school,no,no,yes,no
admin.,married,high.school,no,yes,no,no
services,married,high.school,no,no,no,no
technician,married,professional.course,no,no,yes,no
blue-collar,married,basic.9y,unknown,no,no,no
entrepreneur,single,professional.course,no,yes,no,no
admin.,single,university.degree,no,no,no,no
admin.,married,basic.9y,unknown,no,no,no
admin.,single,university.degree,no,no,no,no
services,married,high.school,no,yes,no,no
admin.,married,university.degree,no,no,no,no
blue-collar,married,basic.6y,unknown,no,yes,no
admin.,divorced,university.degree,no,yes,no,no
blue-collar,married,basic.4y,no,no,no,no
admin.,married,high.school,no,no,no,no
blue-collar,married,basic.4y,no,yes,no,no
blue-collar,married,basic.6y,unknown,yes,no,no
technician,married,professional.course,no,yes,no,no
blue-collar,married,basic.9y,no,yes,no,no
services,divorced,high.school,unknown,no,no,no
blue-collar,single,basic.9y,unknown,no,no,no
student,single,basic.9y,no,no,no,no
blue-collar,married,basic.4y,no,yes,no,no
entrepreneur,married,university.degree,no,yes,no,yes
blue-collar,married,basic.9y,unknown,no,no,no
services,married,high.school,no,no,yes,no
technician,divorced,professional.course,no,no,yes,no
services,married,basic.9y,no,no,yes,no
admin.,single,high.school,no,yes,no,no
blue-collar,married,basic.4y,no,no,no,yes
blue-collar,married,basic.6y,no,yes,yes,yes
blue-collar,married,basic.9y,no,yes,no,no
blue-collar,married,basic.6y,unknown,no,no,no
services,married,high.school,no,yes,no,no
blue-collar,married,unknown,no,no,no,no
unemployed,married,basic.4y,no,no,no,no
admin.,married,high.school,no,no,no,no
technician,single,professional.course,no,no,no,no
services,married,high.school,no,yes,no,no
housemaid,married,high.school,unknown,no,no,no
blue-collar,married,basic.4y,no,yes,no,no
technician,single,university.degree,no,yes,yes,yes
technician,married,professional.course,no,no,no,no
admin.,married,high.school,unknown,yes,no,no
technician,single,professional.course,no,no,no,no
admin.,single,university.degree,no,no,no,no
management,married,unknown,no,no,no,no
blue-collar,married,basic.4y,unknown,no,no,no
blue-collar,single,basic.9y,unknown,yes,no,no
services,married,professional.course,unknown,no,no,no
blue-collar,married,basic.9y,no,no,no,no
services,married,basic.9y,unknown,yes,no,no
management,married,basic.4y,no,no,no,no
blue-collar,married,basic.9y,no,no,no,no
admin.,divorced,basic.9y,unknown,no,no,no
technician,married,university.degree,no,yes,no,no
blue-collar,married,basic.6y,no,no,no,no
management,married,basic.4y,no,yes,no,no
admin.,single,high.school,no,yes,no,no
blue-collar,married,basic.9y,no,yes,no,no
technician,married,university.degree,no,yes,no,no
admin.,single,high.school,no,yes,yes,no
admin.,single,high.school,no,yes,no,no
housemaid,single,high.school,no,yes,no,no
blue-collar,married,professional.course,no,yes,no,no
management,married,university.degree,no,no,no,no
blue-collar,married,basic.4y,no,no,no,no
blue-collar,married,professional.course,unknown,yes,no,no
admin.,single,university.degree,no,yes,yes,no
blue-collar,married,professional.course,unknown,yes,no,no
blue-collar,married,basic.9y,no,yes,yes,no
technician,single,professional.course,no,yes,no,no
admin.,married,high.school,no,yes,no,no
blue-collar,married,basic.9y,no,yes,no,no
blue-collar,married,basic.4y,no,yes,no,no
blue-collar,married,basic.9y,no,yes,no,no
blue-collar,married,basic.9y,no,yes,no,no
blue-collar,married,basic.9y,no,yes,no,no
admin.,single,high.school,no,no,no,yes
blue-collar,married,basic.4y,no,unknown,unknown,no
blue-collar,married,basic.4y,no,yes,no,no
admin.,single,basic.6y,no,no,no,no
entrepreneur,divorced,basic.6y,no,no,yes,no
blue-collar,married,basic.9y,unknown,no,no,no
admin.,married,university.degree,no,yes,no,no
blue-collar,single,university.degree,unknown,no,no,no
services,single,high.school,unknown,yes,no,no
blue-collar,married,basic.6y,no,no,no,no
technician,married,professional.course,no,yes,no,no
admin.,single,high.school,no,yes,no,no
admin.,single,high.school,no,yes,no,no
admin.,single,high.school,no,yes,yes,no
technician,single,university.degree,unknown,yes,no,no
technician,married,professional.course,no,yes,no,no
management,married,high.school,no,yes,no,no
services,single,high.school,no,yes,no,no
services,married,high.school,no,yes,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
admin.,single,high.school,no,yes,yes,no
admin.,single,university.degree,no,no,no,no
blue-collar,married,basic.9y,no,yes,yes,no
admin.,single,professional.course,no,yes,yes,no
entrepreneur,married,unknown,no,yes,yes,no
blue-collar,single,basic.9y,no,no,yes,no
technician,single,university.degree,no,yes,yes,no
services,married,high.school,no,yes,no,no
blue-collar,single,basic.9y,no,yes,no,no
retired,divorced,high.school,no,yes,yes,no
technician,single,university.degree,no,yes,no,no
blue-collar,married,unknown,no,yes,no,no
blue-collar,single,basic.9y,no,yes,no,yes
admin.,married,high.school,no,no,no,no
blue-collar,married,unknown,no,yes,no,no
admin.,married,high.school,no,yes,no,no
admin.,married,high.school,no,no,no,no
admin.,single,high.school,no,yes,no,no
admin.,married,high.school,no,no,no,no
entrepreneur,single,university.degree,no,no,no,no
blue-collar,married,basic.9y,no,unknown,unknown,no
blue-collar,married,basic.9y,unknown,yes,no,no
admin.,married,university.degree,no,yes,no,no
services,married,high.school,unknown,yes,no,no
blue-collar,single,basic.9y,unknown,no,no,no
admin.,married,basic.9y,no,no,no,no
